,title,text,clean_text
30,"11.2.2.3 data analysis
","data analysis techniques that can be used for this process include but are not limited to:
@ root cause analysis. root cause analysis (see section 8.2.2.2) is typically used to discover the underlying
causes that lead to a problem, and develop preventive action. it can be used to identify threats by starting with a
problem statement (for example, the project might be delayed or over budget) and exploring which threats might
result in that problem occurring. the same technique can be used to find opportunities by starting with a benefit

statement (for example, early delivery or under budget) and exploring which opportunities might result in that
hanoafit hoinn roalizan
@ assumption and constraint analysis. every project and its project management plan are conceived
and developed based on a set of assumptions and within a series of constraints. these are often already
incorporated in the scope baseline and project estimates. assumption and constraint analysis explores the
validity of assumptions and constraints to determine which pose a risk to the project. threats may be identified
from the inaccuracy, instability, inconsistency, or incompleteness of assumptions. constraints may give rise to
opportunities through removing or relaxing a limiting factor that affects the execution of a project or process.
@ swot analysis. this technique examines the project from each of the strengths, weaknesses, opportunities,
and threats (swot) perspectives. for risk identification, it is used to increase the breadth of identified risks by
including internally generated risks. the technique starts with the identification of strengths and weaknesses
of the organization, focusing on either the project, organization, or the business area in general. swot analysis
then identifies any opportunities for the project that may arise from strengths, and any threats resulting from
weaknesses. the analysis also examines the degree to which organizational strengths may offset threats and
determines if weaknesses might hinder opportunities.
@ document analysis. described in section 5.2.2.3. risks may be identified from a structured review of projec’
documents, including, but not limited to, plans, assumptions, constraints, previous project files, contracts
agreements, and technical documentation. uncertainty or ambiguity in project documents, as well as
inconsistencies within a document or between different documents, may be indicators of risk on the project.
","data analysis technique that can be use for this process include but be not limit to : root cause analysis . root cause analysis ( see section 8.2.2.2 ) be typically use to discover the underlyingcauses that lead to a problem , and develop preventive action . it can be use to identify threat by start with aproblem statement ( for example , the project might be delay or over budget ) and explore which threat mightresult in that problem occur . the same technique can be use to find opportunity by start with a benefitstatement ( for example , early delivery or under budget ) and explore which opportunity might result in thathanoafit hoinn roalizan assumption and constraint analysis . every project and it project management plan be conceivedand developed base on a set of assumption and within a series of constraint . these be often alreadyincorporated in the scope baseline and project estimate . assumption and constraint analysis explore thevalidity of assumption and constraint to determine which pose a risk to the project . threat may be identifiedfrom the inaccuracy , instability , inconsistency , or incompleteness of assumption . constraint may give rise toopportunities through remove or relax a limiting factor that affect the execution of a project or process . swot analysis . this technique examine the project from each of the strength , weakness , opportunity , and threat ( swot ) perspectives . for risk identification , it be use to increase the breadth of identified risk byincluding internally generate risk . the technique start with the identification of strength and weaknessesof the organization , focus on either the project , organization , or the business area in general . swot analysisthen identify any opportunity for the project that may arise from strength , and any threat result fromweaknesses . the analysis also examine the degree to which organizational strength may offset threat anddetermines if weakness might hinder opportunity . document analysis . describe in section 5.2.2.3. risk may be identify from a structured review of projec ’ document , include , but not limited to , plan , assumption , constraint , previous project file , contractsagreements , and technical documentation . uncertainty or ambiguity in project document , as well asinconsistencies within a document or between different document , may be indicator of risk on the project ."
31,"11.2.2.4 interpersonal and team skills
","interpersonal and team skills that can be used for this process includes but are not limited to facilitation (see section
4.1.2.3). facilitation improves the effectiveness of many of the techniques used to identify individual project risks and
sources of overall project risk. a skilled facilitator can help participants remain focused on the risk identification task,
follow the method associated with the technique accurately, ensure clear risk descriptions, identify and overcome
sources of bias. and resolve anv disagreements that may arise.
","interpersonal and team skill that can be use for this process include but be not limit to facilitation ( see section4.1.2.3 ) . facilitation improve the effectiveness of many of the technique use to identify individual project risk andsources of overall project risk . a skilled facilitator can help participant remain focused on the risk identification task , follow the method associate with the technique accurately , ensure clear risk description , identify and overcomesources of bias . and resolve anv disagreement that may arise ."
32,"11.2.2.5 prompt lists
","a prompt list is a predetermined list of risk categories that might give rise to individual project risks and that could also
act as sources of overall project risk. the prompt list can be used as a framework to aid the project team in idea generation
when using risk identification techniques. the risk categories in the lowest level of the risk breakdown structure can be
used as a prompt list for individual project risks. some common strategic frameworks are more suitable for identifying
sources of overall project risk, for example pestle (political, economic, social, technological, legal, environmental), tecop
(technical, environmental, commercial, operational, political), or vuca (volatility, uncertainty, complexity, ambiguity).
","a prompt list be a predetermined list of risk category that might give rise to individual project risk and that could alsoact a source of overall project risk . the prompt list can be use a a framework to aid the project team in idea generationwhen use risk identification technique . the risk category in the low level of the risk breakdown structure can beused a a prompt list for individual project risk . some common strategic framework be more suitable for identifyingsources of overall project risk , for example pestle ( political , economic , social , technological , legal , environmental ) , tecop ( technical , environmental , commercial , operational , political ) , or vuca ( volatility , uncertainty , complexity , ambiguity ) ."
33,"11.2.2.6 meetings
","to undertake risk identification, the project team may conduct a specialized meeting (often called a risk workshop).
most risk workshops include some form of brainstorming (see section 4.1.2.2), but other risk identification techniques
may be included depending on the level of the risk process defined in the risk management plan. use of a skilled
facilitator will increase the effectiveness of the meeting. it is also essential to ensure that the right people participate in
the risk workshop. on larger projects, it may be appropriate to invite the project sponsor, subject matter experts, sellers,
representatives of the customer, or other project stakeholders. risk workshops for smaller projects may be restricted to
a subset of the project team.
","to undertake risk identification , the project team may conduct a specialized meeting ( often call a risk workshop ) .most risk workshop include some form of brainstorming ( see section 4.1.2.2 ) , but other risk identification techniquesmay be include depend on the level of the risk process define in the risk management plan . use of a skilledfacilitator will increase the effectiveness of the meeting . it be also essential to ensure that the right people participate inthe risk workshop . on large project , it may be appropriate to invite the project sponsor , subject matter expert , seller , representative of the customer , or other project stakeholder . risk workshop for small project may be restrict toa subset of the project team ."
34,"11.2.3 identify risks: outputs
",,
35,"11.2.3.1 risk register
","the risk register captures details of identified individual project risks. the results of perform qualitative risk analysis,
plan risk responses, implement risk responses, and monitor risks are recorded in the risk register as those processes
are conducted throughout the project. the risk register may contain limited or extensive risk information depending on
project variables such as size and complexity.
@ list of identified risks. each individual project risk is given a unique identifier in the risk register. identified risks
are described in as much detail as required to ensure unambiguous understanding. a structured risk statement
may be used to distinguish risks from their cause(s) and their effect(s).
@ potential risk owners. where a potential risk owner has been identified during the identify risks process, the
risk owner is recorded in the risk register. this will be confirmed during the perform qualitative risk analysis
process.
additional data may be recorded for each identified risk, depending on the risk register format specified in the risk
management plan. this may include: a short risk title, risk category, current risk status, one or more causes, one or
more effects on objectives, risk triggers (events or conditions that indicate that a risk is about to occur), wbs reference
of affected activities, and timing information (when was the risk identified, when might the risk occur, when might it no
longer be relevant, and what is the deadline for taking action).
","the risk register capture detail of identified individual project risk . the result of perform qualitative risk analysis , plan risk response , implement risk response , and monitor risk be record in the risk register a those processesare conduct throughout the project . the risk register may contain limited or extensive risk information depend onproject variable such a size and complexity . list of identified risk . each individual project risk be give a unique identifier in the risk register . identify risksare describe in as much detail a require to ensure unambiguous understanding . a structured risk statementmay be use to distinguish risk from their cause ( s ) and their effect ( s ) . potential risk owner . where a potential risk owner have be identify during the identify risk process , therisk owner be record in the risk register . this will be confirm during the perform qualitative risk analysisprocess.additional data may be record for each identify risk , depend on the risk register format specify in the riskmanagement plan . this may include : a short risk title , risk category , current risk status , one or more cause , one ormore effect on objective , risk trigger ( event or condition that indicate that a risk be about to occur ) , wbs referenceof affect activity , and time information ( when be the risk identify , when might the risk occur , when might it nolonger be relevant , and what be the deadline for take action ) ."
36,"11.2.3.2 risk report
","the risk report presents information on sources of overall project risk, together with summary information on identifie
individual project risks. the risk report is developed progressively throughout the project risk management process. th
results of perform qualitative risk analysis, perform quantitative risk analysis, plan risk responses, implement ris
responses, and monitor risks are also included in the risk report as those processes are completed. on completion ¢
the identify risks process, information in the risk report may include but is not limited to:
summary information on identified individual project risks, such as number of identified threats and opportunitie
listribution of risks across risk categories, metrics and trends, etc.
","the risk report present information on source of overall project risk , together with summary information on identifieindividual project risk . the risk report be develop progressively throughout the project risk management process . thresults of perform qualitative risk analysis , perform quantitative risk analysis , plan risk response , implement risresponses , and monitor risk be also include in the risk report a those process be complete . on completion the identify risk process , information in the risk report may include but be not limit to : summary information on identified individual project risk , such a number of identified threat and opportunitielistribution of risk across risk category , metric and trend , etc ."
37,"11.2.3.3 project documents updates
","@ assumption log. described in section 4.1.3.2. during the identify risks process, new assumptions may be
made, new constraints may be identified, and existing assumptions or constraints may be revisited and changed.
the assumption log should be updated with this new information.
@ lessons learned register. described in section 4.4.3.1. the lessons learned register can be updated with
information on techniques that were effective in identifying risks to improve performance in later phases or
other projects.
","assumption log . describe in section 4.1.3.2. during the identify risk process , new assumption may bemade , new constraint may be identify , and exist assumption or constraint may be revisit and changed.the assumption log should be update with this new information . lesson learn register . describe in section 4.4.3.1. the lesson learn register can be update withinformation on technique that be effective in identify risk to improve performance in late phase orother project ."
38,"11.3 perform qualitative risk analysis
","perform qualitative risk analysis is the process of prioritizing individual project risks for further analysis or action
by assessing their probability of occurrence and impact as well as other characteristics. the key benefit of this
process is that it focuses efforts on high-priority risks. this process is performed throughout the project. the inputs,
tools and techniques, and outputs of the process are depicted in figure 11-8. figure 11-9 depicts the data flow
diaoram for the process.
figure 11-8. perform qualitative risk analysis: inputs, tools & techniques, and outputs
Figure 11-9. Perform Qualitative Risk Analysis: Data Flow Diagram
Perform Qualitative Risk Analysis assesses the priority of identified individual project risks using their probability of
occurrence, the corresponding impact on project objectives if the risks occur, and other factors. Such assessments are
subjective as they are based on perceptions of risk by the project team and other stakeholders. Effective assessment
therefore requires explicit identification and management of the risk attitudes of key participants in the Perform
Qualitative Risk Analysis process. Risk perception introduces bias into the assessment of identified risks, so attention
should be paid to identifying bias and correcting for it. Where a facilitator is used to support the Perform Qualitative
Risk Analysis process, addressing bias is a key part of the facilitator’s role. An evaluation of the quality of the available
information on individual project risks also helps to clarify the assessment of each risk’s importance to the project.
Perform Qualitative Risk Analysis establishes the relative priorities of individual project risks for Plan Risk Responses.
t identifies a risk owner for each risk who will take responsibility for planning an appropriate risk response and ensuring
hat it is implemented. Perform Qualitative Risk Analysis also lays the foundation for Perform Quantitative Risk Analysis
f this process is required.
The Perform Qualitative Risk Analysis process is performed regularly throughout the project life cycle, as defined in
the risk management plan. Often, in an agile development environment, the Perform Qualitative Risk Analysis process is
conducted before the start of each iteration.
","perform qualitative risk analysis be the process of prioritize individual project risk for further analysis or actionby assess their probability of occurrence and impact as well a other characteristic . the key benefit of thisprocess be that it focus effort on high-priority risk . this process be perform throughout the project . the input , tool and technique , and output of the process be depict in figure 11-8. figure 11-9 depict the data flowdiaoram for the process.figure 11-8. perform qualitative risk analysis : input , tool & technique , and outputsfigure 11-9 . perform qualitative risk analysis : data flow diagramperform qualitative risk analysis assess the priority of identified individual project risk use their probability ofoccurrence , the corresponding impact on project objective if the risk occur , and other factor . such assessment aresubjective a they be base on perception of risk by the project team and other stakeholder . effective assessmenttherefore require explicit identification and management of the risk attitude of key participant in the performqualitative risk analysis process . risk perception introduces bias into the assessment of identified risk , so attentionshould be pay to identify bias and correct for it . where a facilitator be use to support the perform qualitativerisk analysis process , address bias be a key part of the facilitator ’ s role . an evaluation of the quality of the availableinformation on individual project risk also help to clarify the assessment of each risk ’ s importance to the project.perform qualitative risk analysis establish the relative priority of individual project risk for plan risk responses.t identify a risk owner for each risk who will take responsibility for plan an appropriate risk response and ensuringhat it be implement . perform qualitative risk analysis also lay the foundation for perform quantitative risk analysisf this process be required.the perform qualitative risk analysis process be perform regularly throughout the project life cycle , a define inthe risk management plan . often , in an agile development environment , the perform qualitative risk analysis process isconducted before the start of each iteration ."
39,"11.3.1 perform qualitative risk analysis: inputs
",,
40,"11.3.1.1 project management plan
","described in section 4.2.3.1. project management plan components include the risk management plan as
described in section 11.1.3.1. of particular interest in this process are the roles and responsibilities for conducting risk
management, budgets for risk management, schedule activities for risk management, risk categories (often defined ir
a risk breakdown structure), definitions of probability and impact, the probability and impact matrix, and stakeholders
risk thresholds. these inputs are usually tailored to the project during the plan risk management process. if they are
not available, they may be developed during the perform qualitative risk analysis process and presented to the project
sponsor for approval before use.
","describe in section 4.2.3.1. project management plan component include the risk management plan asdescribed in section 11.1.3.1. of particular interest in this process be the role and responsibility for conduct riskmanagement , budget for risk management , schedule activity for risk management , risk category ( often define ira risk breakdown structure ) , definition of probability and impact , the probability and impact matrix , and stakeholdersrisk threshold . these input be usually tailor to the project during the plan risk management process . if they arenot available , they may be develop during the perform qualitative risk analysis process and present to the projectsponsor for approval before use ."
41,"11.3.1.2 project documents
","@ assumption log. described in section 4.1.3.2. the assumption log is used for identifying, managing, and
monitoring key assumptions and constraints that may affect the project. these may inform the assessment of
the priority of individual project risks.
@ risk register. described in section 11.2.3.1. the risk register contains details of each identified individual project
risk that will be assessed during the perform qualitative risk analysis process.

@ chalnahaldave vraniactare nnaanariknd in cantinn 194904 thie inalidan aantaile anf nrninnat atal-nhanldare ushn mais hn
","assumption log . describe in section 4.1.3.2. the assumption log be use for identify , managing , andmonitoring key assumption and constraint that may affect the project . these may inform the assessment ofthe priority of individual project risk . risk register . describe in section 11.2.3.1. the risk register contain detail of each identify individual projectrisk that will be assess during the perform qualitative risk analysis process . chalnahaldave vraniactare nnaanariknd in cantinn 194904 thie inalidan aantaile anf nrninnat atal-nhanldare ushn mais hn"
42,"11.3.1.3 enterprise environmental factors
","11.3.1.3 enterprise environmental factors
the enterprise environmental factors that can influence perform qualitative risk analysis include but are not limited to:

@ industry studies of similar projects, and
the enterprise environmental factors that can influence perform qualitative risk analysis include but are not limited to:
@ published material, including commercial risk databases or checklists.
","11.3.1.3 enterprise environmental factorsthe enterprise environmental factor that can influence perform qualitative risk analysis include but be not limit to : industry study of similar project , andthe enterprise environmental factor that can influence perform qualitative risk analysis include but be not limit to : publish material , include commercial risk database or checklist ."
43,"11.3.1.4 organizational process assets
",,
44,"11.3.2 perform qualitative risk analysis: tools and techniques
",,
45,"11.3.2 perform qualitative risk analysis: tools a
",,
46,"11.3.2.1 expert judgment
","pi.j.2.) capemne judunieine

described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowledge
or training in the following topics:
expert judgment is often obtained through facilitated risk workshops or interviews. the possibility of expert views
being biased should be taken into account in this process.
",pi.j.2 . ) capemne judunieinedescribed in section 4.1.2.1. expertise should be consider from individual or group with specialized knowledgeor training in the following topic : expert judgment be often obtain through facilitate risk workshop or interview . the possibility of expert viewsbeing bias should be take into account in this process .
47,"11.3.2.2 data gathering
","data-gathering techniques that can be used for this process include but are not limited to interviews. structured or
semi-structured interviews (section 5.2.2.2) can be used to assess the probability and impacts of individual project risks,
as well as other factors. the interviewer should promote an environment of trust and confidentiality in the interview
setting to encourage honest and unbiased assessments.
","data-gathering technique that can be use for this process include but be not limit to interview . structure orsemi-structured interview ( section 5.2.2.2 ) can be use to assess the probability and impact of individual project risk , as well a other factor . the interviewer should promote an environment of trust and confidentiality in the interviewsetting to encourage honest and unbiased assessment ."
48,"11.3.2.3 data analysis
","data analysis techniques that can be used during this process include but are not limited to:
@ risk data quality assessment. risk data quality assessment evaluates the degree to which the data about
individual project risks is accurate and reliable as a basis for qualitative risk analysis. the use of low-quality
risk data may lead to a qualitative risk analysis that is of little use to the project. if data quality is unacceptable,
it may be necessary to gather better data. risk data quality may be assessed via a questionnaire measuring
the project's stakeholder perceptions of various characteristics, which may include completeness, objectivity,
relevancy, and timeliness. a weighted average of selected data quality characteristics can then be generated to
give an overall quality score.
   

ees sst ce lg

relevancy, and timeliness. a weighted a average of selected data quality characteristics can 1 then be generated to
give an overall quality score.

@ risk probability and impact assessment. risk probability assessment considers the likelihood that a specific
risk will occur. risk impact assessment considers the potential effect on one or more project objectives such
as schedule, cost, quality, or performance. impacts will be negative for threats and positive for opportunities.
probability and impact are assessed for each identified individual project risk. risks can be assessed in
interviews or meetings with participants selected for their familiarity with the types of risk recorded in the
risk register. project team members and knowledgeable persons external to the project are included. the level
of probability for each risk and its impact on each objective are evaluated during the interview or meeting.
differences in the levels of probability and impact perceived by stakeholders are to be expected, and such
differences should be explored. explanatory detail, including assumptions justifying the levels assigned, are
also recorded. risk probabilities and impacts are assessed using the definitions given in the risk management
plan (see table 11-1). risks with low probability and impact may be included within the risk register as part
of a watch list for future monitoring.

@ assessment of other risk parameters. the project team may consider other characteristics of risk (in addition
@ assessment of other risk parameters. the project team may consider other characteristics of risk (in addition
to probability and impact) when prioritizing individual project risks for further analysis and action. these
characteristics may include but are not limited to:
Urgency. The period of time within which a response to the risk is to be implemented in order to be effective.
A short period indicates high urgency.

Proximity. The period of time before the risk might have an impact on one or more project objectives. A short
period indicates high proximity.

Dormancy. The period of time that may elapse after a risk has occurred before its impact is discovered. A
short period indicates low dormancy.

Manageability. The ease with which the risk owner (or owning organization) can manage the occurrence or
impact of a risk. Where management is easy, manageability is high.

Controllability. The degree to which the risk owner (or owning organization) is able to control the risk’s
outcome. Where the outcome can be easily controlled, controllability is high.

Detectability. The ease with which the results of the risk occurring, or being about to occur, can be detected
and recognized. Where the risk occurrence can be detected easily, detectability is high.

Connectivity. The extent to which the risk is related to other individual project risks. Where a risk is connected
to many other risks, connectivity is high.

Strategic impact. The potential for the risk to have a positive or negative effect on the organization’s strategic
goals. Where the risk has a major effect on strategic goals, strategic impact is high.

Propinquity. The degree to which a risk is perceived to matter by one or more stakeholders. Where a risk is
perceived as very significant, propinquity is high.
","data analysis technique that can be use during this process include but be not limit to : risk data quality assessment . risk data quality assessment evaluate the degree to which the data aboutindividual project risk be accurate and reliable a a basis for qualitative risk analysis . the use of low-qualityrisk data may lead to a qualitative risk analysis that be of little use to the project . if data quality be unacceptable , it may be necessary to gather good data . risk data quality may be assess via a questionnaire measuringthe project 's stakeholder perception of various characteristic , which may include completeness , objectivity , relevancy , and timeliness . a weighted average of select data quality characteristic can then be generate togive an overall quality score . ee sst ce lgrelevancy , and timeliness . a weight a average of select data quality characteristic can 1 then be generate togive an overall quality score . risk probability and impact assessment . risk probability assessment consider the likelihood that a specificrisk will occur . risk impact assessment consider the potential effect on one or more project objectives suchas schedule , cost , quality , or performance . impact will be negative for threat and positive for opportunities.probability and impact be assess for each identify individual project risk . risk can be assess ininterviews or meeting with participant select for their familiarity with the type of risk record in therisk register . project team member and knowledgeable person external to the project be include . the levelof probability for each risk and it impact on each objective be evaluate during the interview or meeting.differences in the level of probability and impact perceive by stakeholder be to be expect , and suchdifferences should be explore . explanatory detail , include assumption justify the level assign , arealso record . risk probability and impact be assess use the definition give in the risk managementplan ( see table 11-1 ) . risk with low probability and impact may be include within the risk register a partof a watch list for future monitoring . assessment of other risk parameter . the project team may consider other characteristic of risk ( in addition assessment of other risk parameter . the project team may consider other characteristic of risk ( in additionto probability and impact ) when prioritize individual project risk for further analysis and action . thesecharacteristics may include but be not limit to : urgency . the period of time within which a response to the risk be to be implement in order to be effective.a short period indicate high urgency.proximity . the period of time before the risk might have an impact on one or more project objective . a shortperiod indicate high proximity.dormancy . the period of time that may elapse after a risk have occur before it impact be discover . ashort period indicate low dormancy.manageability . the ease with which the risk owner ( or own organization ) can manage the occurrence orimpact of a risk . where management be easy , manageability be high.controllability . the degree to which the risk owner ( or own organization ) be able to control the risk ’ soutcome . where the outcome can be easily control , controllability be high.detectability . the ease with which the result of the risk occurring , or be about to occur , can be detectedand recognize . where the risk occurrence can be detect easily , detectability be high.connectivity . the extent to which the risk be relate to other individual project risk . where a risk be connectedto many other risk , connectivity be high.strategic impact . the potential for the risk to have a positive or negative effect on the organization ’ s strategicgoals . where the risk have a major effect on strategic goal , strategic impact be high.propinquity . the degree to which a risk be perceive to matter by one or more stakeholder . where a risk isperceived a very significant , propinquity be high ."
49,"11.3.2.4 interpersonal and team skills
","interpersonal and team skills that can be used for this process include but are not limited to facilitation (see section
4.1.2.3). facilitation improves the effectiveness of the qualitative analysis of individual project risks. a skilled facilitator
can help participants remain focused on the risk analysis task, follow the method associated with the technique
accurately, reach consensus on assessments of probability and impacts, identify and overcome sources of bias, and
resolve any disagreements that may arise.
","interpersonal and team skill that can be use for this process include but be not limit to facilitation ( see section4.1.2.3 ) . facilitation improve the effectiveness of the qualitative analysis of individual project risk . a skilled facilitatorcan help participant remain focused on the risk analysis task , follow the method associate with the techniqueaccurately , reach consensus on assessment of probability and impact , identify and overcome source of bias , andresolve any disagreement that may arise ."
50,"11.3.2.5 risk categorization
","risks to the project can be categorized by sources of risk (e.g., using the risk breakdown structure (rbs); see
figure 11-4), the area of the project affected (e.g., using the work breakdown structure (wbs); see figures 5-12,
5-13, and 5-14), or other useful categories (e.g., project phase, project budget, and roles and responsibilities) to
determine the areas of the project most exposed to the effects of uncertainty. risks can also be categorized by
common root causes. risk categories that may be used for the project are defined in the risk management plan.
","risk to the project can be categorize by source of risk ( e.g. , use the risk breakdown structure ( rbs ) ; seefigure 11-4 ) , the area of the project affect ( e.g. , use the work breakdown structure ( wbs ) ; see figure 5-12,5-13 , and 5-14 ) , or other useful category ( e.g. , project phase , project budget , and role and responsibility ) todetermine the area of the project most expose to the effect of uncertainty . risk can also be categorize bycommon root cause . risk category that may be use for the project be define in the risk management plan ."
51,"11.3.2.6 data representation
","vala igvicocinauutt louinnyugs uldl udll ug uotu uulitty ullo viuugoo higligug mul aio tul titou lu.

@ probability and impact matrix. a probability and impact matrix is a grid for mapping the probability of eac!
risk occurrence and its impact on project objectives if that risk occurs. this matrix specifies combinations o
probability and impact that allow individual project risks to be divided into priority groups (see figure 11-5). risk:
can be prioritized for further analysis and planning of risk responses based on their probability and impacts
the probability of occurrence for each individual project risk is assessed as well as its impact on one or mor
project objectives if it does occur, using definitions of probability and impact for the project as specified in the
risk management plan. individual project risks are assigned to a priority level based on the combination of thei
assessed probability and impact, using a probability and impact matrix.
an organization can assess a risk separately for each objective (e.g., cost, time, and scope) by having a separate
probability and impact matrix for each. alternatively, it may develop ways to determine one overall priority level

for each risk, either by combining assessments for different objectives, or by taking the highest priority level
regardless of which objective is affected.
@ hierarchical charts. where risks have been categorized using more than two parameters, the probability anc
impact matrix cannot be used and other graphical representations are required. for example, a bubble chart displays
three dimensions of data, where each risk is plotted as a disk (bubble), and the three parameters are representec
by the x-axis value, the y-axis value, and the bubble size. an example bubble chart is shown in figure 11-10, witt
detectability and proximity plotted on the x and y axes, and impact value represented by bubble size.
Figure 11-10. Example Bubble Chart Showing Detectability, Proximity, and Impact Value
","vala igvicocinauutt louinnyugs uldl udll ug uotu uulitty ullo viuugoo higligug mul aio tul titou lu . probability and impact matrix . a probability and impact matrix be a grid for map the probability of eac ! risk occurrence and it impact on project objective if that risk occur . this matrix specifies combination oprobability and impact that allow individual project risk to be divide into priority group ( see figure 11-5 ) . risk : can be prioritize for further analysis and planning of risk response base on their probability and impactsthe probability of occurrence for each individual project risk be assess as well a it impact on one or morproject objective if it do occur , use definition of probability and impact for the project a specify in therisk management plan . individual project risk be assign to a priority level base on the combination of theiassessed probability and impact , use a probability and impact matrix.an organization can assess a risk separately for each objective ( e.g. , cost , time , and scope ) by have a separateprobability and impact matrix for each . alternatively , it may develop way to determine one overall priority levelfor each risk , either by combine assessment for different objective , or by take the high priority levelregardless of which objective be affect . hierarchical chart . where risk have be categorize use more than two parameter , the probability ancimpact matrix can not be use and other graphical representation be require . for example , a bubble chart displaysthree dimension of data , where each risk be plot a a disk ( bubble ) , and the three parameter be representecby the x-axis value , the y-axis value , and the bubble size . an example bubble chart be show in figure 11-10 , wittdetectability and proximity plot on the x and y ax , and impact value represent by bubble size.figure 11-10 . example bubble chart show detectability , proximity , and impact value"
52,"11.3.2.7 meetings
","to undertake qualitative risk analysis, the project team may conduct a specialized meeting (often called a risk
workshop) dedicated to the discussion of identified individual project risks. the goals of this meeting include the review
of previously identified risks, assessment of probability and impacts (and possibly other risk parameters), categorization,
and prioritization. a risk owner, who will be responsible for planning an appropriate risk response and for reporting
progress on managing the risk, will be allocated to each individual project risk as part of the perform qualitative risk
analysis process. the meeting may start by reviewing and confirming the probability and impact scales to be used for
the analysis. the meeting may also identify additional risks during the discussion, and these should be recorded for
analysis. use of a skilled facilitator will increase the effectiveness of the meeting.
","to undertake qualitative risk analysis , the project team may conduct a specialized meeting ( often call a riskworkshop ) dedicate to the discussion of identified individual project risk . the goal of this meeting include the reviewof previously identify risk , assessment of probability and impact ( and possibly other risk parameter ) , categorization , and prioritization . a risk owner , who will be responsible for plan an appropriate risk response and for reportingprogress on manage the risk , will be allocate to each individual project risk a part of the perform qualitative riskanalysis process . the meeting may start by review and confirm the probability and impact scale to be use forthe analysis . the meeting may also identify additional risk during the discussion , and these should be record foranalysis . use of a skilled facilitator will increase the effectiveness of the meeting ."
53,"11.3.3 perform qualitative risk analysis: outputs
",,
54,"11.3.3.1 project documents updates
","@ assumption log. described in section 4.1.3.2. during the perform qualitative risk analysis process, new
assumptions may be made, new constraints may be identified, and existing assumptions or constraints may be
revisited and changed. the assumption log should be updated with this new information.
@ risk register. described in section 11.2.3.1. the risk register is updated with new information generated during
the perform qualitative risk analysis process. updates to the risk register may include assessments of probability
and impacts for each individual project risk, its priority level or risk score, the nominated risk owner, risk urgency
information or risk categorization, and a watch list for low-priority risks or risks requiring further analysis.
@ risk report. described in section 11.2.3.2. the risk report is updated to reflect the most important individual
project risks (usually those with the highest probability and impact), as well as a prioritized list of all identified
risks on the project and a summary conclusion.
","assumption log . describe in section 4.1.3.2. during the perform qualitative risk analysis process , newassumptions may be make , new constraint may be identify , and exist assumption or constraint may berevisited and change . the assumption log should be update with this new information . risk register . describe in section 11.2.3.1. the risk register be update with new information generate duringthe perform qualitative risk analysis process . update to the risk register may include assessment of probabilityand impact for each individual project risk , it priority level or risk score , the nominated risk owner , risk urgencyinformation or risk categorization , and a watch list for low-priority risk or risk require further analysis . risk report . describe in section 11.2.3.2. the risk report be update to reflect the most important individualproject risk ( usually those with the high probability and impact ) , as well a a prioritized list of all identifiedrisks on the project and a summary conclusion ."
